LIBRO MAYOR CONTABLE ;;;;;;;;
;Filtros;Mostrar cuenta sistema anterior:;;N;Fecha base para el saldo inicial:;;19/10/2022;
;;Fecha inicio:;01/01/2025;;Normas Contables :;IFRS;;
;;Fecha fin:;31/12/2025;;Código de cuenta:;3030102;;
;;Empresa:;PROYESCO CHILE SPA;;;;;
Cuenta:  3030102  PROVEEDORES EN USD;;;;;;;;
Moneda de la Cta: Dólares Americanos;;;;;;;;
Comprobante;Fec. Doc.;Voucher;;Titular;T.Doc/Nro;Debe;Haber;Acumulado
;;;;;Saldo Inicial al 01/01/2025;;;0.00
aape/2694;01-01-25;;;PROYESCO SA;Asiento Diario General/653;;22,500.00;-22,500.00
Glosa : Asiento de Apertura de Ejercicio;;;;;;;;
;;;;;;;;
aape/2694;01-01-25;;;PROYESCO SA;Asiento Diario General/585;;489,317.00;-511,817.00
Glosa : Asiento de Apertura de Ejercicio;;;;;;;;
;;;;;;;;
adig/674;14-01-25;2,201;;DEEL INC;;;20,152.00;-531,969.00
Glosa : INVOICE 5-2025-9 /20.152  DOLARES;;;;;;;;
;;;;;;;;
plib/72;15-01-25;2,202;;DEEL INC;Asiento Diario General/674;20,152.00;;-511,817.00
Glosa : Deel Inc.;;;;;;;;
;;;;;;;;
adig/676;28-01-25;2,204;;DEEL INC;;;2,702.50;-514,519.50
Glosa : INVOICE REC-2025-4 /2702.5 DOLARES;;;;;;;;
;;;;;;;;
adig/677;28-01-25;2,205;;DEEL INC;;;2,415.00;-516,934.50
Glosa : INVOICE REC-2025-2 /2.415 DOLARES;;;;;;;;
;;;;;;;;
adig/678;28-01-25;2,206;;DEEL INC;;;4,554.00;-521,488.50
Glosa : INVOICE REC-2025-3 /4.554 DOLARES;;;;;;;;
;;;;;;;;
plib/73;29-01-25;2,207;;DEEL INC;Asiento Diario General/677;2,415.00;;-519,073.50
Glosa : Deel Inc.;;;;;;;;
;;;;;;;;
plib/74;29-01-25;2,208;;DEEL INC;Asiento Diario General/678;4,554.00;;-514,519.50
Glosa : Deel Inc.;;;;;;;;
;;;;;;;;
plib/75;29-01-25;2,209;;DEEL INC;Asiento Diario General/676;2,702.50;;-511,817.00
Glosa : Deel Inc.;;;;;;;;
;;;;;;;;
adig/723;31-01-25;2,315;;PROYESCO SA;;;22,500.00;-534,317.00
Glosa : INVOICE ET233;;;;;;;;
;;;;;;;;
adig/692;06-02-25;2,238;;DEEL INC;;;2,752.00;-537,069.00
Glosa : INVOICE REC-2025-5/2.752 DOLARES;;;;;;;;
;;;;;;;;
plib/77;06-02-25;2,239;;DEEL INC;Asiento Diario General/692;2,752.00;;-534,317.00
Glosa : Deel Inc.;;;;;;;;
;;;;;;;;
adig/711;28-02-25;2,303;;DEEL INC;;12,070.50;;-522,246.50
Glosa : Compra/venta Divisas Sucursal;;;;;;;;
;;;;;;;;
adig/724;28-02-25;2,316;;PROYESCO SA;;;22,500.00;-544,746.50
Glosa : INVOICE ET234;;;;;;;;
;;;;;;;;
adig/727;28-02-25;2,319;;DEEL INC;;;12,070.50;-556,817.00
Glosa : INVOICE REC-2025-6  / 12070.5 DOLARES HONORTARIOS EXTRANJEROS;;;;;;;;
;;;;;;;;
adig/712;25-03-25;2,304;;PROYESCO SA;;22,500.00;;-534,317.00
Glosa : Remesa Transf Extranjero Web;;;;;;;;
;;;;;;;;
adig/712;25-03-25;2,304;;PROYESCO SA;;22,500.00;;-511,817.00
Glosa : Remesa Transf Extranjero Web;;;;;;;;
;;;;;;;;
adig/713;26-03-25;2,305;;PROYESCO SA;;22,500.00;;-489,317.00
Glosa : Remesa Transf Extranjero Web;;;;;;;;
;;;;;;;;
adig/714;31-03-25;2,306;;DEEL INC;;13,001.84;;-476,315.16
Glosa : Compra/venta Divisas Sucursal PAGO DEELL;;;;;;;;
;;;;;;;;
adig/725;31-03-25;2,317;;PROYESCO SA;;;22,500.00;-498,815.16
Glosa : SERVICIOS MARZO 235;;;;;;;;
;;;;;;;;
adig/726;31-03-25;2,318;;DEEL INC;;;13,001.84;-511,817.00
Glosa : INVOICE S-2025-68  / 13001.84 DOLARES HONORTARIOS EXTRANJEROS;;;;;;;;
;;;;;;;;
adig/739;11-04-25;2,389;;DEEL INC;;;1,103.00;-512,920.00
Glosa : INVOICE REC-2025-8 /1,103.00  DOLARES;;;;;;;;
;;;;;;;;
adig/746;11-04-25;2,397;;DEEL INC;;1,103.00;;-511,817.00
Glosa : Compra/venta Divisas Sucursal PAGO DEELL;;;;;;;;
;;;;;;;;
adig/741;21-04-25;2,391;;PROYESCO SA;;;120,000.00;-631,817.00
Glosa : Servicios prestados meses enero/febrero/marzo/abril 2025 segun propuesta co-998-0;;;;;;;;
;;;;;;;;
adig/747;21-04-25;2,398;;PROYESCO SA;;120,000.00;;-511,817.00
Glosa : Compra/venta Divisas Sucursal proyesco;;;;;;;;
;;;;;;;;
adig/740;29-04-25;2,390;;DEEL INC;;;12,743.00;-524,560.00
Glosa : INVOICE REC-2025-9 /12.743,00 DOLARES;;;;;;;;
;;;;;;;;
adig/748;29-04-25;2,399;;DEEL INC;;12,743.00;;-511,817.00
Glosa : Compra/venta Divisas Sucursal PAGO DEELL;;;;;;;;
;;;;;;;;
adig/742;30-04-25;2,392;;PROYESCO SA;;;22,500.00;-534,317.00
Glosa : SERVICIOS ABRIL 236;;;;;;;;
;;;;;;;;
adig/758;08-05-25;2,429;;PROYESCO SA;;;30,000.00;-564,317.00
Glosa : SERVICIOS PRESTADOS MESES DE MAYO 2025 SEGUN PROPUESTA CO-998-0;;;;;;;;
;;;;;;;;
adig/759;09-05-25;2,430;;PROYESCO SA;;30,000.00;;-534,317.00
Glosa : Remesa transf extranjero WEB;;;;;;;;
;;;;;;;;
adig/756;29-05-25;2,427;;DEEL INC;;;8,772.40;-543,089.40
Glosa : INVOICE REC-2025-104 /8.772,40 DOLARES;;;;;;;;
;;;;;;;;
